# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[06:25.898] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[06:25.898] himax | DEBUG: ledFlashSelectLED(1)
[06:25.898] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[06:25.898] himax |   Flash LED(s) in use: 1
[06:26.199] nrf   | BLE out: Sent   5 bytes: 'Wake'
[06:26.199] nrf   | <info> app: AI processor replies: 'Set OpParam 13 = 2'
[06:26.199] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 13 = 2'
[06:26.199] himax | MKL62BA command received: 'selftest'
[06:26.199] himax | selfTest 0000
[06:26.199] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[06:26.199] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[06:26.199] himax | MKL62BA command received: 'setop 13 2'
[06:26.199] himax | Set OpParam 13 = 2
[06:26.199] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 13 = 2'
[06:26.199] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[06:26.373] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 13 = 2
[06:29.293] himax | Inactive for 3000ms
[06:29.293] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[06:29.293] himax |  No LED flashes.
[06:29.293] himax | >>> Entering DPD at 2024:01:01 00:00:35
[06:29.570] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[06:29.572] app   | [useCapturePreview] Phase 1: Setup  checking device state
[06:29.573] app   | Written AI getop -1 to the device WILD-CNKW (12:28:11-367)
[06:29.594] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[06:29.909] himax | DEBUG: ledFlashSelectLED(0)
[06:29.909] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[06:29.909] nrf   | <info> app: AI processor is in DPD. Waking it. (getop -1)
[06:30.165] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[06:30.165] himax | DEBUG: ledFlashSelectLED(2)
[06:30.165] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[06:30.165] himax |   Flash LED(s) in use: 2
[06:30.165] himax | MKL62BA command received: 'selftest'
[06:30.165] himax | selfTest 0000
[06:30.165] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[06:30.165] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[06:30.165] himax | MKL62BA command received: 'getop -1'
[06:30.512] nrf   | BLE out: Sent   5 bytes: 'Wake'
[06:30.653] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[06:33.256] himax | Inactive for 3000ms
[06:33.556] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[06:33.556] himax |  No LED flashes.
[06:33.556] himax | >>> Entering DPD at 2024:01:01 00:00:40
[06:33.588] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[06:33.669] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[06:33.673] app   | Written AI capture 1 500 to the device WILD-CNKW (12:28:15-465)
[06:33.858] himax | DEBUG: ledFlashSelectLED(0)
[06:33.890] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[06:33.890] nrf   | <info> app: AI processor is in DPD. Waking it. (capture 1 500)
[06:34.159] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[06:34.159] himax | DEBUG: ledFlashSelectLED(2)
[06:34.159] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[06:34.159] himax |   Flash LED(s) in use: 2
[06:34.159] himax | MKL62BA command received: 'selftest'
[06:34.159] himax | selfTest 0000
[06:34.159] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[06:34.159] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[06:34.474] himax | MKL62BA command received: 'capture 1 500'
[06:34.474] himax | Images to capture: 1
[06:34.490] nrf   | BLE out: Sent   5 bytes: 'Wake'
[06:34.490] nrf   | BLE out: Sent  64 bytes: 'About to capture 1 image with an interval of '500' milliseconds'
[06:37.513] himax | Inactive for 3000ms
[06:37.513] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[06:37.529] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[06:39.348] himax | >>>> Frame timed out - restarting sensor, retry 1/5
[06:41.193] himax |  No LED flashes.
[06:41.193] himax | >>> Entering DPD at 2024:01:01 00:00:48
[07:03.687] app   | '[useCapturePreview] Capture failed:', [Error: TIMEOUT]
[07:03.702] app   | '[CapturePicture] Capture failed:', [Error: TIMEOUT]
[07:37.489] nrf   | <info> app: BLE Timeout: disconnecting
[13:52.216] app   | Written AI slots to the device WILD-CNKW (12:35:34-018)
[13:52.249] himax | DEBUG: ledFlashSelectLED(0)
[13:52.249] nrf   | BLE in: Received   8 bytes 'AI slots'
[13:52.249] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[13:52.564] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[13:52.564] himax | DEBUG: ledFlashSelectLED(2)
[13:52.564] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[13:52.564] himax |   Flash LED(s) in use: 2
[13:52.564] himax | MKL62BA command received: 'selftest'
[13:52.564] himax | selfTest 0000
