# Verification of ww-mobile-app #282 and #283 on the bench, 5 September 2026
#
# Device WILD-CNKW, firmware ae_review_to_merge 931ef923, app 0.0.65.
# Three-way log: app = adb logcat ReactNativeJS, nrf = MKL62BA console, himax = HX6538 console.
# Two excerpts from bench/2026-09-05_flash/flash_bench2.txt, times MM:SS.mmm from the start of that capture.
#
# Excerpt 1: Capture Picture holds op34 and the LED fires (#283).
# Excerpt 2: the deployment writes the project's flash after the reset (#282).

=== Excerpt 1: Capture Picture, White LED, lit room ===
[03:32.016] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:32.016] himax | Received I2C message.
[03:32.016] himax | MKL62BA command received: 'selftest'
[03:32.016] himax | selfTest 0000
[03:32.016] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:32.016] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:32.016] himax | Assert inter-processor interrupt.
[03:32.016] himax | Negate inter-processor interrupt.
[03:32.016] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:32.016] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:32.016] himax | I2C transmission complete.
[03:32.016] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:32.174] nrf   | <info> app: !66 
[03:32.174] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0x15F7)
[03:32.174] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[03:32.174] nrf   | <info> app: BLE and AI time differ by 776s - too much!
[03:32.174] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[03:32.174] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[03:32.174] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[03:32.174] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[03:32.174] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[03:32.174] nrf   | <info> app: I2C TX complete: 14 bytes.
[03:32.174] nrf   | <info> app: !67 
[03:32.174] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
[03:32.174] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[03:32.174] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[03:32.174] nrf   | <info> app: Can't send UTC
[03:32.174] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[03:32.174] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[03:32.174] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[03:32.174] nrf   | Sending 'setop 8 1000' to AI processor (4 ctrl bytes, 12 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[03:32.174] nrf   | <info> app: I2C TX complete: 18 bytes.
[03:32.174] nrf   | <info> app: !68 
[03:32.174] nrf   | <info> app: I2C RX payload 20/250 bytes. Response type is 4. CRC OK (0xF34E)
[03:32.174] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[03:32.174] nrf   | <info> app: AI processor replies: 'Set OpParam 8 = 1000'
[03:32.174] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[03:32.174] nrf   | <info> app: NUS TX Ready
[03:32.174] nrf   | <info> app: NUS TX Ready
[03:32.316] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:32.316] himax | Received I2C message.
[03:32.316] himax | MKL62BA command received: 'setop 8 1000'
[03:32.316] himax | Set OpParam 8 = 1000
[03:32.316] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:32.316] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:32.316] himax | Assert inter-processor interrupt.
[03:32.316] himax | Negate inter-processor interrupt.
[03:32.316] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:32.316] himax | FatFS Task received event '' (0x0908). Rx data = 0x00000000
[03:32.316] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:32.316] himax | I2C transmission complete.
[03:32.316] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:32.316] himax | Config saved (op params persisted).
[03:32.474] nrf   | <info> app: NUS TX Ready
[03:33.190] app   | Written AI setop 34 0 to the device WILD-CNKW (02:19:36-747)
[03:33.190] app   | [KeepAwake] op8 on D6:47:9B:89:E7:23 restored to 1000 (release)
[03:33.575] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:33.575] himax | Received I2C message.
[03:33.575] himax | MKL62BA command received: 'setop 34 0'
[03:33.575] himax | Set OpParam 34 = 0
[03:33.575] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:33.575] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:33.575] himax | Assert inter-processor interrupt.
[03:33.575] himax | Negate inter-processor interrupt.
[03:33.575] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:33.575] himax | FatFS Task received event '' (0x0908). Rx data = 0x00000000
[03:33.575] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:33.575] himax | I2C transmission complete.
[03:33.575] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:33.575] himax | Config saved (op params persisted).
[03:33.717] nrf   | BLE in: Received  13 bytes 'AI setop 34 0'
[03:33.717] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[03:33.717] nrf   | Sending 'setop 34 0' to AI processor (4 ctrl bytes, 10 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[03:33.717] nrf   | <info> app: I2C TX complete: 16 bytes.
[03:33.717] nrf   | <info> app: !69 
[03:33.717] nrf   | <info> app: I2C RX payload 18/250 bytes. Response type is 4. CRC OK (0x969B)
[03:33.717] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[03:33.717] nrf   | <info> app: AI processor replies: 'Set OpParam 34 = 0'
[03:33.717] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[03:34.031] nrf   | <info> app: NUS TX Ready
[03:34.050] app   | [FlashHold] op34 on D6:47:9B:89:E7:23 restored to 0 (release)
[03:36.712] himax | Inactive for 3000ms
[03:36.712] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[03:36.712] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[03:36.712] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[03:36.712] himax | Saved state to SD card. Image sequence number = 0
[03:36.712] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[03:36.712] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[03:36.712] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[03:36.712] himax | Image task ready to sleep.
[03:36.712] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[03:36.712] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[03:36.712] himax | Assert inter-processor interrupt.
[03:36.712] himax | Negate inter-processor interrupt.
[03:36.712] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[03:36.712] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:36.712] himax | I2C transmission complete.
[03:36.712] himax | IF task ready to sleep.
[03:36.712] himax | DEBUG: ledFlashDisable()
[03:36.712] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[03:36.712] himax |    Inhibiting MD
[03:36.712] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[03:36.712] himax |  No LED flashes.
[03:36.712] himax | >>> Entering DPD at 2024:01:01 00:00:09
[03:36.852] nrf   | <info> app: !70 
[03:36.852] nrf   | <info> app: I2C RX payload 98/250 bytes. Response type is 4. CRC OK (0x0210)
[03:36.852] nrf   | <info> app: AI state machine bumped with 'Sleep' (Current state: IDLE)
[03:36.852] nrf   | <info> app: AI processor sends stats: '0 0 0 1 11 1 500 0 1000 5 1 0 100 1 0 0 18 1 0 0 0 2 50 65 15 0 0 286 326 1 110 1 0 0 0 0 0 '
[03:36.852] nrf   | <info> app: AI state changed from IDLE to SLEEP
[03:36.852] nrf   | <info> app: NUS TX Ready
[03:38.099] nrf   | BLE in: Received   8 bytes 'AI slots'
[03:38.099] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[03:38.099] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[03:38.223] app   | [OpCache] sharing the fetch in flight for D6:47:9B:89:E7:23
[03:38.223] app   | [OpCache] sharing the fetch in flight for D6:47:9B:89:E7:23
[03:38.224] app   | Written AI slots to the device WILD-CNKW (02:19:41-782)
[03:38.269] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[03:38.269] himax | slot flash_offset 0x00100000
[03:38.269] himax | New MemDesp himax_sec_SB_image_process PASS
[03:38.269] himax | set_memory_s_ns
[03:38.269] himax | HX_DSP_FLAG 1
[03:38.269] himax | jump_addr=0x10000000
[03:38.269] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[03:38.269] himax | **** WW500 MD. (WW500_C02) Built: 13:51:51 Sep  4 2026 ****
[03:38.269] himax | Git branch: 'ae_review_to_merge' 931ef923
[03:38.269] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[03:38.269] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[03:38.269] himax | Camera: RP v3 (IMX708)
[03:38.269] himax | Enabling RP SENSOR_ENABLE
[03:38.269] himax | PCA9574 present at 0x20
[03:38.269] himax | DEBUG: ledFlashSelectLED(0)
[03:38.269] himax | Initialised LED Flash
[03:38.269] himax | HM0360 present at 0x24
[03:38.269] himax | Main camera present at 0x1a
[03:38.269] himax | Disabling RP SENSOR_ENABLE
[03:38.269] himax | ### Warm Boot ###
[03:38.269] himax | Woke at 2024:01:01 00:00:09 
[03:38.269] himax | BLE wake
[03:38.269] himax | Initialising FreeRTOS tasks
[03:38.269] himax | Created task 'CLI' Priority 4
[03:38.269] himax | Created task 'IFTask' Priority 3
[03:38.269] himax | Created task 'FAT' Priority 2
[03:38.269] himax | Created task 'IMAGE' Priority 1
[03:38.269] himax | FreeRTOS scheduler started.
[03:38.269] himax | Starting CLI Task
[03:38.269] himax | Enter 'help' to view a list of available commands.
[03:38.269] himax | cmd> Starting IFTask
[03:38.269] himax | I2C slave instance 0 configured at address 0x62
[03:38.269] himax | I2C buffers have 256 bytes, payload is 244
[03:38.269] himax | Starting FatFS Task
[03:38.578] himax | Mounting FatFS on SD card OK
[03:38.578] himax | Directory '/MANIFEST' exists
[03:38.578] himax | SD card initialised. CWD is '0:/'
[03:38.578] himax | Loading configuration: CWD is '0:/MANIFEST'
[03:38.578] himax | 'CONFIG.TXT' found. (Next image #0), camera enabled. Flash brightness 5
[03:38.578] himax | Retaining existing images directory (0 <= 100) '/MEDIA/00000000/IMAGES.000'
[03:38.578] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[03:38.578] himax | FatFs setup took 247ms
[03:38.578] himax | Inactivity period set at 1000ms
[03:38.578] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[03:38.578] himax | Starting Image Task
[03:38.578] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[03:38.578] himax | Enabling RP SENSOR_ENABLE
[03:38.578] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[03:38.578] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[03:38.578] himax | mclk DIV3, xshutdown_pin=82
[03:38.578] himax | IMX708 Init by app (IMX708_common_setting)
[03:38.578] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[03:38.578] himax | Init IMX708 Default PDAF pixel correction gains 
[03:38.719] nrf   | <info> app: !71 
[03:38.879] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[03:38.879] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[03:38.879] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[03:38.879] himax | Quad Bayer re-mosaic adjustments ON
[03:38.879] himax | IMX708 Init by app (IMX708_mirror_setting)
[03:38.879] himax | CWD is '0:/MANIFEST'
[03:38.879] himax | Error opening '0:/RPV3_EX.BIN': 4
[03:38.879] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[03:38.879] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[03:38.879] himax | MIPI TX CLK: 200M
[03:38.879] himax | t_input: 12943ns
[03:38.879] himax | t_output: 11520ns
[03:38.879] himax | t_preload: 185ns
[03:38.879] himax | MIPI RX FIFO FILL: 70
[03:38.879] himax | MIPI TX FIFO FILL: 0
[03:38.879] himax | RESET MIPI CSI RX/TX
[03:38.879] himax | sensor_type: 15
[03:38.879] himax | DEBUG: ledFlashBrightness(5%) [brbits = 0x0]
[03:38.879] himax | DEBUG: ledFlashSelectLED(1)
[03:38.879] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 0
[03:38.879] himax | DEBUG: ledFlashDisable()
[03:38.879] himax | Not initialising NN (project ID is 0)
[03:38.879] himax | No model found.
[03:38.879] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[03:38.879] himax | Image sensor and data path initialised for camera RP v3
[03:38.879] himax |   Camera system enabled.
[03:38.879] himax |   Neural network disabled.
[03:38.879] himax |   Flash LED(s) in use: 1
[03:38.879] himax |   Flash brightness: 5%
[03:38.879] himax |   Flash is currently not armed.
[03:38.879] himax |   Flash duration 100ms
[03:38.879] himax |   MD disabled.
[03:38.879] himax |   Timelapse disabled.
[03:38.879] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[03:38.879] himax | Assert inter-processor interrupt.
[03:38.879] himax | Negate inter-processor interrupt.
[03:38.879] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[03:38.879] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:38.879] himax | I2C transmission complete.
[03:38.879] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:38.879] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:38.879] himax | Received I2C message.
[03:38.879] himax | MKL62BA command received: 'selftest'
[03:38.879] himax | selfTest 0000
[03:38.879] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:38.879] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:38.879] himax | Assert inter-processor interrupt.
[03:38.879] himax | Negate inter-processor interrupt.
[03:38.879] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:38.879] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:38.879] himax | I2C transmission complete.
[03:38.879] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:38.879] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:38.879] himax | Received I2C message.
[03:38.879] himax | MKL62BA command received: 'slots'
[03:38.879] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:38.879] himax | Flash ID 0xEF initialised
[03:38.879] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[03:38.879] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:38.879] himax | Assert inter-processor interrupt.
[03:39.032] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0xEE03)
[03:39.032] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[03:39.032] nrf   | <info> app: BLE and AI time differ by 776s - too much!
[03:39.032] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[03:39.032] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[03:39.032] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[03:39.032] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[03:39.032] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[03:39.032] nrf   | <info> app: I2C TX complete: 14 bytes.
[03:39.032] nrf   | <info> app: !72 
[03:39.032] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
